web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,position,position2,position3,position4,image,image2,image3,item_page_title,item_page_link,image_0
"1778040184-1","https://www.theplancollection.com/collections/one-story-house-plans","","#206-1027","1474","$1195","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1027%2FPlan2061027MainImage_30_10_2020_18.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1474-square-feet-3-bedroom-2-bathroom-contemporary-style-32155","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1027%2FPlan2061027Image_30_10_2020_1835_22.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1027%2FPlan2061027Image_11_5_2021_1248_10.jpg&w=1920&q=100"
"1778040188-2","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1222","1850","$1445","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","4","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1222%2FPlan1421222MainImage_6_11_2019_9.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31612","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1222%2FPlan1421222Image_6_11_2019_914_19.jpg&w=1920&q=100"
"1778040191-3","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1177","2073","$1445","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1177%2FPlan1421177MainImage_6_12_2016_10.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-29415","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1177%2FPlan1421177Image_6_12_2016_1038_58.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1177%2FPlan1421177Image_9_10_2018_1049_26.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1177%2FPlan1421177Image_6_12_2016_1039_40.jpg&w=1920&q=100"
"1778040195-4","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1067","1675","$1395","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1067%2FPlan1421067MainImage_2_12_2014_20.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-26579","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1067%2FPlan1421067Image_2_12_2014_2018_30.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1067%2FPlan1421067Image_28_11_2016_835_45.jpg&w=1920&q=100"
"1778040199-5","https://www.theplancollection.com/collections/one-story-house-plans","","#206-1030","2300","$1295","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","4","2","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1030%2FPlan2061030MainImage_16_11_2020_9.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-2300-square-feet-4-bedroom-2-5-bathroom-ranch-style-32190","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1030%2FPlan2061030Image_16_11_2020_950_48.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1030%2FPlan2061030Image_7_6_2021_172_26.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F206%2F1030%2FPlan2061030Image_7_6_2021_173_34.jpg&w=1920&q=100"
"1778040203-6","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1209","2854","$1495","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","3","2","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1209%2FPlan1421209MainImage_24_4_2019_2.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-31228","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1209%2FPlan1421209Image_24_4_2019_257_16.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1209%2FPlan1421209Image_21_10_2019_1212_45.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1209%2FPlan1421209Image_24_4_2019_256_50.jpg&w=1920&q=100"
"1778040206-7","https://www.theplancollection.com/collections/one-story-house-plans","","#123-1117","1120","$990","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","2","2","0","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1117%2FPlan1231117MainImage_13_5_2025_10.png&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1120-square-feet-2-bedroom-2-bathroom-ranch-style-32491","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F123%2F1117%2FPlan1231117Image_6_2_2021_110_6.jpg&w=1920&q=100"
"1778040210-8","https://www.theplancollection.com/collections/one-story-house-plans","","#198-1024","2045","$1495","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F198%2F1024%2FPlan1981024MainImage_2_5_2018_1.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/home-plan-30766","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F198%2F1024%2FPlan1981024Image_29_5_2019_1029_51.jpg&w=1920&q=100"
"1778040213-9","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1484","1260","$1345","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car","","1","2","2","2","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1484%2FPlan1421484MainImage_22_12_2023_10.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-1260-square-feet-2-bedroom-2-bathroom-barndominium-style-33717","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1484%2FPlan1421484Image_22_12_2023_1036_54.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1484%2FPlan1421484Image_17_9_2024_1446_44.jpg&w=1920&q=100"
"1778040216-10","https://www.theplancollection.com/collections/one-story-house-plans","","#142-1253","2974","$1495","Plan","Sq Ft","Story","Bed","Starting at","Bath","Car",".5","1","3","3","3","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1253%2FPlan1421253MainImage_29_1_2021_7.jpg&w=1920&q=100","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Flip-SVG.svg&w=48&q=75","https://www.theplancollection.com/_next/image?url=%2FIcon_-_Fav-SVG.svg&w=48&q=75","","https://www.theplancollection.com/house-plans/plan-2974-square-feet-3-bedroom-3-5-bathroom-ranch-style-32446","https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1253%2FPlan1421253Image_29_1_2021_728_19.jpg&w=1920&q=100
https://www.theplancollection.com/_next/image?url=https%3A%2F%2Fwww.theplancollection.com%2FUpload%2FDesigners%2F142%2F1253%2FPlan1421253Image_29_1_2021_731_35.jpg&w=1920&q=100"
